               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 148,            0.029803,            0.056048,             0.04193,             0.70355,             0.60805,             0.60016,             0.46832,            0.024381,            0.049474,            0.034529,           0.0070894,           0.0070894,           0.0070894
                 149,            0.030322,            0.056132,            0.041856,             0.74064,             0.64151,             0.60958,             0.48644,            0.024907,            0.050758,            0.034578,           0.0070696,           0.0070696,           0.0070696
                 150,            0.030309,            0.057749,              0.0422,             0.74655,             0.63461,              0.6115,             0.47514,            0.025487,            0.050197,            0.034117,           0.0070498,           0.0070498,           0.0070498
                 151,            0.029215,             0.05475,            0.041728,             0.76667,             0.60229,             0.60778,             0.48675,            0.023742,            0.048829,            0.034021,             0.00703,             0.00703,             0.00703
                 152,            0.029404,            0.056051,            0.041544,             0.75809,             0.59454,              0.6262,             0.48847,            0.024925,             0.04986,            0.033888,           0.0070102,           0.0070102,           0.0070102
                 153,            0.029692,            0.055481,            0.040644,             0.75692,              0.6053,             0.60518,             0.49369,            0.022588,            0.049619,            0.033885,           0.0069904,           0.0069904,           0.0069904
                 154,            0.027794,            0.057145,            0.040872,             0.73614,             0.61001,             0.61248,             0.49153,            0.022504,            0.049453,            0.033466,           0.0069706,           0.0069706,           0.0069706
                 155,            0.028266,            0.056132,            0.041091,             0.77014,              0.6499,             0.61902,             0.47071,            0.024571,            0.049799,            0.033437,           0.0069508,           0.0069508,           0.0069508
                 156,             0.02956,            0.054687,            0.041213,             0.79857,             0.61275,             0.61894,             0.46917,            0.025642,            0.050693,             0.03333,            0.006931,            0.006931,            0.006931
                 157,            0.028618,            0.051926,             0.04074,             0.84062,             0.57406,              0.6159,             0.49155,             0.02404,             0.05145,            0.033492,           0.0069112,           0.0069112,           0.0069112
